time	I1	I2	I3		
0.0000000000	-0.7509671	1.060094	-0.2783757		
0.0000649723	-0.7725466	1.026645	-0.2638096		
0.0001299445	-0.7633753	1.026645	-0.2125582		
0.0001949168	-0.7833364	0.9953551	-0.1963736		
0.0002598891	-0.8135477	0.9527355	-0.1942156		
0.0003248614	-0.7979025	0.9640649	-0.1321745		
0.0003898336	-0.8178636	0.9376299	-0.1111345		
0.0004548059	-0.825956	0.9257612	-0.07768626		
0.0005197782	-0.8389037	0.9079581	-0.04963289		
0.0005847504	-0.8577857	0.8820627	-0.03075081		
0.0006497227	-0.8567067	0.8836812	0.01402668		
0.0007146950	-0.8766679	0.8572462	0.03021132		
0.0007796672	-0.891234	0.8383642	0.05556725		
0.0008446395	-0.8944709	0.8275744	0.09225243		
0.0009096118	-0.9079581	0.8027579	0.1154504		
0.0009745841	-0.9079581	0.797363	0.1591489		
0.0010395563	-0.9316956	0.7649938	0.1796495		
0.0011045286	-0.9575909	0.7304666	0.1958341		
0.0011695009	-0.9532751	0.7326246	0.2497829		
0.0012344731	-0.978631	0.7018737	0.2697439		
0.0012994454	-0.9775521	0.7002553	0.3220743		
0.0013644177	-1.001829	0.6727414	0.3447328		
0.0014293899	-1.029882	0.6403721	0.3619964		
0.0014943622	-1.027724	0.6414511	0.4132477		
0.0015593345	-1.050383	0.6166347	0.4386037		
0.0016243068	-1.054159	0.6112397	0.4833812		
0.0016892790	-1.078436	0.5837259	0.5065791		
0.0017542513	-1.097318	0.5691597	0.5367904		
0.0018192236	-1.110266	0.559449	0.5729361		
0.0018841958	-1.132925	0.5362509	0.5945156		
0.0019491681	-1.13778	0.53733	0.6403721		
0.0020141404	-1.159359	0.513053	0.6592542		
0.0020791126	-1.166373	0.5001053	0.6878471		
0.0021440849	-1.16907	0.4779863	0.711045		
0.0022090572	-1.178781	0.4391432	0.7137424		
0.0022740295	-1.155583	0.4386037	0.7509671		
0.0023390017	-1.156123	0.4089318	0.7569015		
0.0024039740	-1.143714	0.3916682	0.7768626		
0.0024689463	-1.138319	0.3646938	0.7865733		
