time	I1	I2	I3
0.00344399	0.04747494	-0.9521961	0.8977078
0.003508971	0.09926578	-0.9403273	0.9009448
0.003573952	0.1154504	-0.9656833	0.8653386
0.003638933	0.1278586	-0.9980526	0.8243375
0.003703914	0.1850443	-0.9829469	0.8340483
0.003768895	0.2017685	-1.010461	0.8006001
0.003833876	0.2481644	-1.007224	0.8000606
0.003898856	0.268665	-1.028264	0.7757835
0.003963837	0.2799942	-1.062791	0.7369404
0.004028818	0.3366404	-1.049843	0.7509671
0.004093799	0.357141	-1.073581	0.7234533
0.00415878	0.3949051	-1.080594	0.7115845
0.004223761	0.4256559	-1.09516	0.693242
0.004288742	0.4386037	-1.126451	0.6614121
0.004353723	0.4914735	-1.115661	0.6700439
0.004418704	0.5081976	-1.139938	0.6409116
0.004483685	0.534093	-1.150728	0.6204111
0.004548666	0.5664623	-1.14803	0.6101608
0.004613647	0.5761731	-1.164754	0.5761731
0.004678628	0.6182531	-1.141556	0.5815679
0.004743609	0.6204111	-1.151267	0.5438038
0.00480859	0.6187926	-1.159899	0.5022632
0.004873571	0.6581752	-1.12753	0.5044212
0.004938552	0.6560173	-1.133464	0.4644991
0.005003532	0.6948604	-1.099476	0.4644991
0.005068513	0.6948604	-1.100555	0.4240375
0.005133494	0.691084	-1.10649	0.378181
0.005198475	0.731006	-1.068186	0.3819574
0.005263456	0.7326246	-1.065489	0.3420353
0.005328437	0.7461118	-1.048764	0.313982
0.005393418	0.7628359	-1.027724	0.289705
0.005458399	0.7682307	-1.018553	0.2514014
0.00552338	0.7952051	-0.9813285	0.2395326
0.005588361	0.7952051	-0.9759336	0.1985316
0.005653342	0.7844154	-0.9791705	0.1488987
0.005718323	0.8221796	-0.9327745	0.1494381
0.005783304	0.8243375	-0.9252217	0.1122135
0.005848285	0.8405221	-0.9031027	0.09117346
0.005913266	0.8529303	-0.8869181	0.06365957
0.005978247	0.8518513	-0.8869181	0.02104003
0.006043228	0.8847601	-0.8491539	0.01672412
0.006108208	0.8858391	-0.845917	-0.02751388
0.006173189	0.891234	-0.8372852	-0.0668965
0.00623817	0.9203663	-0.804916	-0.08308113
0.006303151	0.9268402	-0.7919682	-0.1219243
0.006368132	0.9532751	-0.756362	-0.1391879
0.006433113	0.9521961	-0.7520461	-0.1888208
0.006498094	0.959749	-0.7374799	-0.2276639
0.006563075	0.9872628	-0.7061896	-0.2508619
0.006628056	0.9926577	-0.6986368	-0.2940209
0.006693037	1.025566	-0.6614121	-0.3080476
0.006758018	1.027185	-0.6587147	-0.3544435
0.006822999	1.033659	-0.6517014	-0.3943656
0.00688798	1.066028	-0.6220295	-0.4105503
0.006952961	1.07412	-0.6160952	-0.4520909
0.007017942	1.10595	-0.5864233	-0.4693545
0.007082923	1.110266	-0.5837259	-0.5114345
0.007147904	1.109727	-0.5885813	-0.5610674
0.007212884	1.149649	-0.5508171	-0.5616069
0.007277865	1.152886	-0.5448828	-0.599371
0.007342846	1.170689	-0.5195268	-0.6144767
0.007407827	1.173926	-0.5065791	-0.644688
0.007472808	1.16961	-0.4979473	-0.6792153
0.007537789	1.186334	-0.4591042	-0.6808337
0.00760277	1.170149	-0.446696	-0.708887
0.007667751	1.159359	-0.4218795	-0.7261506
0.007732732	1.155044	-0.3916682	-0.7337036
0.007797713	1.134004	-0.3776415	-0.7585199
0.007862694	1.141017	-0.3307061	-0.7525856
0.007927675	1.115121	-0.3193768	-0.7800995
0.007992656	1.085989	-0.3085871	-0.8103108
0.008057637	1.091384	-0.2600332	-0.7989816
0.008122618	1.062252	-0.2476249	-0.8275744
0.008187599	1.071423	-0.1931367	-0.8135477
0.00825258	1.039593	-0.178031	-0.8421406
0.00831756	0.9958946	-0.1753336	-0.8820627
0.008382541	1.008303	-0.1132925	-0.8577857
0.008447522	0.9813285	-0.09441038	-0.8777468
0.008512503	0.9699993	-0.05988315	-0.8831417
0.008577484	0.9521961	-0.03506671	-0.893392
0.008642465	0.9241427	-0.02050054	-0.915511
0.008707446	0.9273797	0.02643491	-0.9090371
0.008772427	0.9020237	0.04208006	-0.9327745
0.008837408	0.8917735	0.07283086	-0.9381694
0.008902389	0.8788258	0.09980527	-0.9527355
0.00896737	0.8529303	0.1143714	-0.9780915
0.009032351	0.8561673	0.1634648	-0.9716177
0.009097332	0.8286534	0.1823469	-0.9975131
0.009162313	0.8130082	0.2157951	-1.007224
0.009227294	0.7957446	0.2460065	-1.019093
0.009292275	0.7666123	0.2638096	-1.043909
0.009357256	0.7687702	0.3156004	-1.039054
0.009422236	0.7380195	0.3366404	-1.064949
0.009487217	0.7256112	0.3749441	-1.07466
0.009552198	0.7083476	0.4067739	-1.090305
0.009617179	0.6792153	0.423498	-1.122135
0.00968216	0.6846101	0.4758283	-1.11674
0.009747141	0.6603332	0.4941709	-1.146412
0.009812122	0.6576357	0.5362509	-1.151807
0.009877103	0.6409116	0.5567515	-1.178241
0.009942084	0.6063844	0.5616069	-1.219243
0.010007065	0.623648	0.6171741	-1.206295
0.010072046	0.603687	0.6355167	-1.225716
0.010137027	0.6031474	0.6732809	-1.225177
0.010202008	0.5767125	0.6840706	-1.245138
0.010266989	0.5486592	0.6953999	-1.256467
0.01033197	0.5394879	0.7288482	-1.240283
0.010396951	0.4990263	0.7299271	-1.248914
0.010461932	0.4930919	0.7666123	-1.214387
0.010526912	0.4542488	0.7671518	-1.213848
0.010591893	0.4321298	0.7844154	-1.194966
0.010656874	0.4056949	0.7962841	-1.180939
0.010721855	0.3652333	0.7952051	-1.177702
0.010786836	0.357141	0.8281139	-1.143175
0.010851817	0.3172189	0.8281139	-1.137241
0.010916798	0.2902445	0.8421406	-1.1162
0.010981779	0.2632701	0.8556278	-1.096239
0.01104676	0.220111	0.8507724	-1.0957
0.011111741	0.2157951	0.8874576	-1.051462
0.011176722	0.1731756	0.8836812	-1.047686
0.011241703	0.1300166	0.8788258	-1.042291
0.011306684	0.1224637	0.9068791	-1.002908
0.011371665	0.08847601	0.9079581	-0.9926577
0.011436646	0.07606779	0.9349325	-0.9581304
0.011501627	0.03614569	0.9322351	-0.9548936
0.011566608	-0.006473855	0.9263007	-0.9570515
0.011631588	-0.008631806	0.9619069	-0.913353
0.011696569	-0.04747494	0.9608279	-0.9095766
0.01176155	-0.07283086	0.9759336	-0.8906945
0.011826531	-0.0976473	0.9899603	-0.8728914
0.011891512	-0.1440433	0.9845654	-0.8728914
0.011956493	-0.1499776	1.023409	-0.825956
0.012021474	-0.1947551	1.021251	-0.8216401
0.012086455	-0.2325193	1.025566	-0.8086923
0.012151436	-0.2503224	1.050383	-0.7757835
0.012216417	-0.2934814	1.050922	-0.7693097
0.012281398	-0.3053502	1.083831	-0.7299271
0.012346379	-0.3506671	1.083831	-0.7256112
0.01241136	-0.4008395	1.081134	-0.7212954
0.012476341	-0.4083923	1.117279	-0.6808337
0.012541322	-0.4504724	1.119977	-0.6775967
0.012606303	-0.4601832	1.156662	-0.6403721
0.012671284	-0.5017238	1.155583	-0.6441485
0.012736264	-0.5524356	1.142096	-0.6587147
0.012801245	-0.5443433	1.186334	-0.6074634
0.012866226	-0.578331	1.175544	-0.5977526
0.012931207	-0.5939761	1.182018	-0.5713177
0.012996188	-0.6139372	1.177702	-0.5524356
0.013061169	-0.644688	1.156662	-0.5421853
0.01312615	-0.6398326	1.16907	-0.4914735
0.013191131	-0.6673465	1.14803	-0.4785257
0.013256112	-0.6878471	1.134543	-0.4569462
0.013321093	-0.6916234	1.132385	-0.4186426
0.013386074	-0.7142819	1.111884	-0.3976026
0.013451055	-0.7115845	1.114043	-0.3592989
0.013516036	-0.735322	1.087608	-0.3447328
0.013581017	-0.7709282	1.049304	-0.3404168
0.013645998	-0.7536646	1.060633	-0.2767573
0.013710979	-0.7763231	1.033119	-0.2573357
0.01377596	-0.7827969	1.020711	-0.2228085
0.01384094	-0.7946657	1.002368	-0.1925972
0.013905921	-0.8194821	0.9694597	-0.1774915
0.013970902	-0.8081529	0.9775521	-0.1257007
0.014035883	-0.8329693	0.9457222	-0.1111345
0.014100864	-0.8588647	0.912274	-0.09872628
0.014165845	-0.8464565	0.9171294	-0.04747494
0.014230826	-0.8691149	0.8869181	-0.03344825
0.014295807	-0.8604832	0.8879971	0.01672412
0.014360788	-0.8815233	0.8610227	0.03344825
0.014425769	-0.9128135	0.822719	0.04046159
0.01449075	-0.8982474	0.8329693	0.09980527
0.014555731	-0.9203663	0.804916	0.1176084
0.014620712	-0.9306166	0.7919682	0.1521356
0.014685693	-0.9430249	0.7747046	0.1823469
0.014750674	-0.9791705	0.734243	0.1839654
0.014815655	-0.9662228	0.7466512	0.2497829
0.014880636	-0.9899603	0.7191373	0.2719019
0.014945616	-0.9942762	0.712124	0.3177584
0.015010597	-1.016395	0.6862286	0.3409563
0.015075578	-1.056317	0.6409116	0.3447328
0.015140559	-1.041212	0.6576357	0.4154057
0.01520554	-1.067647	0.6301218	0.4391432
0.015270521	-1.080594	0.6187926	0.4774468
0.015335502	-1.098937	0.60045	0.5098161
0.015400483	-1.123214	0.578331	0.5330141
0.015465464	-1.123753	0.5837259	0.5761731
0.015530445	-1.14803	0.559449	0.5907393
0.015595426	-1.162596	0.5438038	0.6150162
0.015660407	-1.163136	0.5362509	0.6468459
0.015725388	-1.177702	0.5092766	0.6619517
0.015790369	-1.162057	0.5076581	0.7056502
0.01585535	-1.173386	0.4725914	0.7099661
0.015920331	-1.184176	0.4305113	0.7099661
0.015985312	-1.152886	0.422419	0.7531251
0.016050292	-1.157741	0.3808784	0.7558225
0.016115273	-1.124293	0.3749441	0.797363
0.016180254	-1.124293	0.332864	0.7984421
0.016245235	-1.131306	0.2837706	0.7854943
0.016310216	-1.088687	0.2891655	0.8286534
0.016375197	-1.082213	0.2519408	0.8275744
0.016440178	-1.060094	0.2298218	0.8437591
0.016505159	-1.041751	0.199071	0.8540093
0.01657014	-1.039054	0.1553725	0.8534698
0.016635121	-1.00075	0.1483592	0.8858391
0.016700102	-0.9948156	0.1089766	0.8858391
0.016765083	-0.981868	0.07768626	0.8944709
0.016830064	-0.9581304	0.05988315	0.913353
0.016895045	-0.9532751	0.02104003	0.912274
0.016960026	-0.9160504	0.01618464	0.9451827
0.017025007	-0.9128135	-0.02481644	0.9419459
0.017089988	-0.9052607	-0.06042264	0.9424854
0.017154968	-0.8739703	-0.07337035	0.9683807
0.017219949	-0.865878	-0.1111345	0.9689202
0.01728493	-0.8313508	-0.1208453	0.9991316
0.017349911	-0.827035	-0.1645438	0.9948156
0.017414892	-0.8221796	-0.2033869	0.9953551
0.017479873	-0.7898102	-0.2174136	1.025027
0.017544854	-0.7833364	-0.2557172	1.027185
0.017609835	-0.7504277	-0.2659675	1.061712
0.017674816	-0.7471907	-0.309666	1.063331
0.017739797	-0.7385589	-0.3474302	1.070344
0.017804778	-0.7115845	-0.3684702	1.094621
0.017869759	-0.7072686	-0.4143267	1.093002
0.01793474	-0.668965	-0.424577	1.130227
0.017999721	-0.6630306	-0.467736	1.132385
0.018064702	-0.6452276	-0.5006447	1.152346
0.018129683	-0.6274244	-0.5303166	1.173386
0.018194664	-0.6279639	-0.5734757	1.178781
0.018259644	-0.599371	-0.5837259	1.216006
0.018324625	-0.5999105	-0.6198716	1.219243
0.018389606	-0.580489	-0.6349772	1.241901
0.018454587	-0.5740151	-0.6630306	1.250533
0.018519568	-0.5815679	-0.7067291	1.234888
0.018584549	-0.5367904	-0.6975579	1.26456
0.01864953	-0.5227637	-0.7261506	1.249993
0.018714511	-0.4844601	-0.7277692	1.254309
0.018779492	-0.468815	-0.7547436	1.227335
0.018844473	-0.446696	-0.7763231	1.209532
0.018909454	-0.4083923	-0.7800995	1.206834
0.018974435	-0.3943656	-0.8086923	1.177702
0.019039416	-0.3452722	-0.7989816	1.187413
0.019104397	-0.3301666	-0.8221796	1.157741
0.019169378	-0.309666	-0.8362062	1.13778
0.019234359	-0.2729809	-0.8335088	1.131846
0.01929934	-0.2594937	-0.8572462	1.100016
0.01936432	-0.2130977	-0.845917	1.103792
0.019429301	-0.1952946	-0.8691149	1.073041
0.019494282	-0.1872023	-0.8993263	1.039054
0.019559263	-0.132714	-0.8826022	1.046067
0.019624244	-0.1197663	-0.9074186	1.015316
0.019689225	-0.08092318	-0.9058002	1.012619
0.019754206	-0.0577252	-0.9192873	0.9948156
0.019819187	-0.04639596	-0.9462617	0.9619069
0.019884168	0.004855391	-0.9300771	0.9699993
0.019949149	0.02104003	-0.9505776	0.9387089
0.02001413	0.04369852	-0.9624464	0.9192873
0.020079111	0.0803837	-0.9640649	0.9079581
0.020144092	0.09602884	-0.9872628	0.8755888
0.020209073	0.1472802	-0.9753941	0.8826022
0.020274054	0.1629253	-0.9991316	0.8513119
0.020339035	0.1774915	-1.025566	0.8173242
0.020404016	0.2282034	-1.018014	0.8221796
0.020468996	0.2497829	-1.039054	0.797363
0.020533977	0.2988763	-1.033659	0.7989816
0.020598958	0.3156004	-1.06441	0.7628359
0.020663939	0.3242322	-1.099476	0.7202163
0.02072892	0.3857338	-1.083831	0.7331641
0.020793901	0.402458	-1.110266	0.6975579
0.020858882	0.4493934	-1.110806	0.6948604
0.020923863	0.4769073	-1.131306	0.6722019
0.020988844	0.4920129	-1.162596	0.6387537
0.021053825	0.5454223	-1.149649	0.647925
0.021118806	0.5599884	-1.171228	0.6187926
0.021183787	0.5858839	-1.167991	0.6080028
0.021248768	0.6047659	-1.170689	0.5880418
0.021313749	0.6085423	-1.184176	0.5529751
0.02137873	0.647925	-1.154504	0.5535145
0.021443711	0.6522409	-1.156662	0.5173689
0.021508692	0.6603332	-1.156123	0.4828417
0.021573672	0.690005	-1.131846	0.4731309
0.021638653	0.6975579	-1.12753	0.4402221
0.021703634	0.7272297	-1.098937	0.4272744
0.021768615	0.7293876	-1.098937	0.3862733
0.021833596	0.71644	-1.110806	0.3290876
0.021898577	0.7628359	-1.061173	0.3377194
0.021963558	0.7639148	-1.054699	0.2988763
0.022028539	0.77956	-1.029343	0.2762178
0.02209352	0.7892708	-1.011	0.2492434
0.022158501	0.7849548	-1.007224	0.2071633
0.022223482	0.8194821	-0.9651439	0.2050054
