time	I1	I2	I3	
0.0000000000	-0.5837259	0.3555225	0.222269	
0.0000649763	-0.6166347	0.3377194	0.2713624	
0.0001299526	-0.6490039	0.3215348	0.3209953	
0.0001949289	-0.6813732	0.3048107	0.3706282	
0.0002599052	-0.7142819	0.289705	0.4181031	
0.0003248815	-0.7444933	0.2751388	0.465578	
0.0003898578	-0.7768626	0.2611121	0.5114345	
0.0004548341	-0.8097714	0.246546	0.556212	
0.0005198104	-0.8416011	0.2319798	0.6009895	
0.0005847867	-0.8745098	0.2184926	0.6468459	
0.0006497630	-0.9058002	0.2044659	0.6916234	
0.0007147393	-0.935472	0.1904392	0.734243	
0.0007797156	-0.9640649	0.1764125	0.777402	
0.0008446919	-0.9931972	0.1618464	0.8216401	
0.0009096682	-1.022869	0.1494381	0.8637201	
0.0009746445	-1.05308	0.1370299	0.9074186	
0.0010396208	-1.083292	0.1224637	0.9500382	
0.0011045971	-1.112963	0.1100555	0.9964341	
0.0011695734	-1.145872	0.09818679	1.040672	
0.0012345497	-1.17932	0.08577857	1.08491	
0.0012995261	-1.213848	0.07337035	1.131846	
0.0013645024	-1.247296	0.06204111	1.177163	
0.0014294787	-1.279665	0.05071186	1.222479	
0.0014944550	-1.312035	0.03614569	1.266178	
0.0015594313	-1.344404	0.022119	1.311495	
0.0016244076	-1.372997	0.01078976	1.354654	
0.0016893839	-1.40159	-0.002697439	1.396195	
0.0017543602	-1.43234	-0.01132924	1.436656	
0.0018193365	-1.463631	-0.01834259	1.473881	
0.0018843128	-1.494381	-0.02697439	1.512185	
0.0019492891	-1.525672	-0.03452722	1.551567	
0.0020142654	-1.555883	-0.04261954	1.587173	
0.0020792417	-1.579081	-0.05286981	1.619003	
0.0021442180	-1.597963	-0.06527803	1.649754	
0.0022091943	-1.609292	-0.08200216	1.678347	
0.0022741706	-1.617924	-0.09818679	1.703163	
0.0023391469	-1.621161	-0.1159899	1.722585	
0.0024041232	-1.621701	-0.132714	1.742546	
0.0024690995	-1.619543	-0.1478197	1.758191	
0.0025340758	-1.617924	-0.1618464	1.771139	
0.0025990521	-1.616845	-0.1753336	1.781928	
0.0026640284	-1.614687	-0.1904392	1.793797	
0.0027290047	-1.610371	-0.2066239	1.805666	
0.0027939810	-1.604437	-0.2217295	1.816995	
0.0028589573	-1.597424	-0.2362957	1.826706	
0.0029239336	-1.591489	-0.2497829	1.836417	
0.0029889099	-1.586094	-0.2616516	1.842891	
0.0030538862	-1.57962	-0.2740598	1.846667	
0.0031188625	-1.572068	-0.2853891	1.849904	
0.0031838388	-1.560738	-0.2977973	1.852601	
0.0032488151	-1.549949	-0.3112845	1.852062	
0.0033137914	-1.539159	-0.3209953	1.852062	
0.0033787677	-1.528369	-0.3301666	1.850983	
0.0034437440	-1.521356	-0.3393379	1.852601	
0.0035087203	-1.513803	-0.3485092	1.856917	
0.0035736966	-1.507329	-0.357141	1.861233	
0.0036386729	-1.500855	-0.3684702	1.86447	
0.0037036492	-1.493842	-0.377102	1.866628	
0.0037686255	-1.48521	-0.3868128	1.868247	
0.0038336018	-1.475499	-0.3959841	1.867707	
0.0038985782	-1.461473	-0.4062344	1.865549	
0.0039635545	-1.446367	-0.4186426	1.863391	
0.0040285308	-1.430722	-0.4332088	1.861233	
0.0040935071	-1.415616	-0.4450775	1.857457	
0.0041584834	-1.399432	-0.4574857	1.855299	
0.0042234597	-1.385944	-0.470973	1.855299	
0.0042884360	-1.374076	-0.4839206	1.854759	
0.0043534123	-1.362746	-0.4947104	1.855299	
0.0044183886	-1.350878	-0.5060396	1.857457	
0.0044833649	-1.340088	-0.5173689	1.856378	
0.0045483412	-1.330917	-0.5254612	1.854759	
0.0046133175	-1.323364	-0.5297771	1.855838	
0.0046782938	-1.312035	-0.5378695	1.852062	
0.0047432701	-1.296929	-0.5448828	1.845049	
0.0048082464	-1.280205	-0.5513566	1.835338	
0.0048732227	-1.260244	-0.5556725	1.821851	
0.0049381990	-1.236506	-0.5583699	1.80189	
0.0050031753	-1.209532	-0.5610674	1.773297	
0.0050681516	-1.17986	-0.5583699	1.744704	
0.0051331279	-1.152886	-0.5583699	1.718269	
0.0051981042	-1.125911	-0.5556725	1.687518	
0.0052630805	-1.098937	-0.5529751	1.655149	
0.0053280568	-1.070344	-0.5481197	1.621701	
0.0053930331	-1.041212	-0.5421853	1.587713	
0.0054580094	-1.009382	-0.53733	1.553186	
0.0055229857	-0.9748546	-0.534093	1.514882	
0.0055879620	-0.9387089	-0.5297771	1.472802	
0.0056529383	-0.8998658	-0.5265402	1.43234	
0.0057179146	-0.8604832	-0.5238428	1.391339	
0.0057828909	-0.8232585	-0.5216848	1.350878	
0.0058478672	-0.7865733	-0.5189874	1.310416	
0.0059128435	-0.7509671	-0.5179084	1.273191	
0.0059778198	-0.7153609	-0.5152109	1.235967	
0.0060427961	-0.6797547	-0.5135925	1.198742	
0.0061077724	-0.6463065	-0.5114345	1.162596	
0.0061727487	-0.6133977	-0.5103555	1.12753	
0.0062377250	-0.5815679	-0.5065791	1.093002	
0.0063027013	-0.5481197	-0.5060396	1.059015	
0.0063676776	-0.5135925	-0.5055001	1.022869	
0.0064326539	-0.4774468	-0.5033422	0.9878023	
0.0064976303	-0.4413011	-0.5022632	0.9516566	
0.0065626066	-0.4062344	-0.5017238	0.9149715	
0.0066275829	-0.3711677	-0.5001053	0.8782863	
0.0066925592	-0.3366404	-0.4990263	0.8421406	
0.0067575355	-0.2999552	-0.5006447	0.8070739	
0.0068225118	-0.2627306	-0.5017238	0.7703887	
0.0068874881	-0.2238875	-0.5033422	0.7331641	
0.0069524644	-0.1839654	-0.5038817	0.6948604	
0.0070174407	-0.1456617	-0.5060396	0.6581752	
0.0070824170	-0.1073581	-0.5087371	0.6231085	
0.0071473933	-0.06959394	-0.5146714	0.5891207	
0.0072123696	-0.02913235	-0.5195268	0.557291	
0.0072773459	0.009171294	-0.5254612	0.5243822	
0.0073423222	0.04693545	-0.5319351	0.490934	
0.0074072985	0.08685755	-0.5362509	0.4580252	
0.0074722748	0.1267797	-0.5394879	0.4218795	
0.0075372511	0.1661623	-0.53733	0.3824969	
0.0076022274	0.2033869	-0.5292376	0.3387984	
0.0076672037	0.2384537	-0.5189874	0.289705	
0.0077321800	0.2745993	-0.5049607	0.2400721	
0.0077971563	0.3102055	-0.489855	0.1888208	
0.0078621326	0.3452722	-0.4736703	0.1375694	
0.0079271089	0.37926	-0.4574857	0.08523908	
0.0079920852	0.4148662	-0.4413011	0.03668518	
0.0080570615	0.4504724	-0.4278139	-0.01294771	
0.0081220378	0.4860786	-0.4137872	-0.06258059	
0.0081870141	0.5206058	-0.3976026	-0.1159899	
0.0082519904	0.5556725	-0.3808784	-0.1656228	
0.0083169667	0.5885813	-0.3625358	-0.2174136	
0.0083819430	0.6214901	-0.3447328	-0.2697439	
0.0084469193	0.6543988	-0.3290876	-0.3209953	
0.0085118956	0.688926	-0.311824	-0.3695492	
0.0085768719	0.7218348	-0.2940209	-0.4197216	
0.0086418482	0.7536646	-0.2762178	-0.4671965	
0.0087068245	0.7854943	-0.2605726	-0.5162899	
0.0087718008	0.8178636	-0.2427696	-0.5643043	
0.0088367771	0.848075	-0.2282034	-0.6107003	
0.0089017534	0.8788258	-0.2130977	-0.6543988	
0.0089667297	0.9074186	-0.201229	-0.6986368	
0.0090317060	0.9392484	-0.1898997	-0.7434143	
0.0090966824	0.9710782	-0.176952	-0.7860338	
0.0091616587	1.003448	-0.1634648	-0.8313508	
0.0092266350	1.035817	-0.1505171	-0.8745098	
0.0092916113	1.067647	-0.1397274	-0.9187478	
0.0093565876	1.101095	-0.1267797	-0.9619069	
0.0094215639	1.133464	-0.1138319	-1.008303	
0.0094865402	1.165833	-0.1008842	-1.05362	
0.0095515165	1.194966	-0.08685755	-1.098937	
0.0096164928	1.226256	-0.07067291	-1.144793	
0.0096814691	1.254849	-0.05664623	-1.187952	
0.0097464454	1.284521	-0.04208006	-1.230032	
0.0098114217	1.31689	-0.02913235	-1.27481	
0.0098763980	1.349799	-0.01672412	-1.320127	
0.0099413743	1.382168	-0.005394879	-1.364904	
0.0100063506	1.417235	0.005394879	-1.409682	
0.0100713269	1.451222	0.0134872	-1.454459	
0.0101363032	1.48521	0.01942156	-1.49546	
0.0102012795	1.518658	0.02589542	-1.533764	
0.0102662558	1.549409	0.03344825	-1.571528	
0.0103312321	1.573147	0.04208006	-1.606055	
0.0103962084	1.592029	0.05394879	-1.636267	
0.0104611847	1.6012	0.07013343	-1.66432	
0.0105261610	1.608213	0.09171294	-1.688058	
0.0105911373	1.61145	0.109516	-1.709637	
0.0106561136	1.613608	0.1262402	-1.729598	
0.0107210899	1.617385	0.1445827	-1.750099	
0.0107860662	1.62224	0.1607674	-1.77006	
0.0108510425	1.625477	0.1742546	-1.786784	
0.0109160188	1.629793	0.1861233	-1.802429	
0.0109809951	1.629793	0.197992	-1.815916	
0.0110459714	1.627095	0.2098608	-1.827245	
0.0111109477	1.619543	0.2249665	-1.834798	
0.0111759240	1.609832	0.2411511	-1.842351	
0.0112409003	1.597963	0.2584147	-1.845049	
0.0113058766	1.582857	0.2724414	-1.846128	
0.0113708529	1.56991	0.2853891	-1.846128	
0.0114358292	1.55912	0.2972578	-1.847206	
0.0115008055	1.54887	0.3069686	-1.848825	
0.0115657818	1.540238	0.3193768	-1.852601	
0.0116307581	1.533764	0.3296271	-1.856378	
0.0116957345	1.52729	0.3387984	-1.859615	
0.0117607108	1.523514	0.3479697	-1.862852	
0.0118256871	1.517579	0.356062	-1.863931	
0.0118906634	1.510027	0.3636149	-1.865549	
0.0119556397	1.500316	0.3733256	-1.866628	
0.0120206160	1.488447	0.3846548	-1.865549	
0.0120855923	1.475499	0.3938262	-1.863931	
0.0121505686	1.462012	0.4046159	-1.860154	
0.0122155449	1.450143	0.4154057	-1.856917	
0.0122805212	1.438275	0.4261954	-1.855838	
0.0123454975	1.426945	0.4364457	-1.855838	
0.0124104738	1.415616	0.4472355	-1.856917	
0.0124754501	1.405366	0.4585647	-1.857457	
0.0125404264	1.391879	0.4693545	-1.857457	
0.0126054027	1.378392	0.4785257	-1.855299	
0.0126703790	1.364365	0.489855	-1.853141	
0.0127353553	1.347641	0.5017238	-1.850983	
0.0128003316	1.330917	0.5135925	-1.847206	
0.0128653079	1.315271	0.5276191	-1.842891	
0.0129302842	1.303403	0.535172	-1.840193	
0.0129952605	1.291534	0.5443433	-1.837496	
0.0130602368	1.282902	0.5513566	-1.83318	
0.0131252131	1.273191	0.556212	-1.829943	
0.0131901894	1.261862	0.5578305	-1.821851	
0.0132551657	1.24352	0.5589094	-1.805126	
0.0133201420	1.220322	0.557291	-1.77977	
0.0133851183	1.193887	0.5545936	-1.74902	
0.0134500946	1.167452	0.5524356	-1.71719	
0.0135150709	1.134543	0.5502777	-1.683202	
0.0135800472	1.098397	0.5486592	-1.645977	
0.0136450235	1.062252	0.5470407	-1.607674	
0.0137099998	1.025566	0.5448828	-1.56991	
0.0137749761	0.9899603	0.5427248	-1.532685	
0.0138399524	0.9543541	0.5389484	-1.496539	
0.0139049287	0.9203663	0.5346325	-1.458775	
0.0139699050	0.8885366	0.5297771	-1.42263	
0.0140348813	0.8556278	0.5254612	-1.384326	
0.0140998576	0.8211006	0.5216848	-1.344404	
0.0141648339	0.7844154	0.5152109	-1.302863	
0.0142298102	0.7493487	0.5103555	-1.262941	
0.0142947866	0.713203	0.5076581	-1.223019	
0.0143597629	0.6748993	0.5049607	-1.186334	
0.0144247392	0.6392931	0.5033422	-1.14857	
0.0144897155	0.6058449	0.5028027	-1.111345	
0.0145546918	0.5734757	0.5017238	-1.076278	
0.0146196681	0.5389484	0.5011842	-1.041212	
0.0146846444	0.5049607	0.5001053	-1.006684	
0.0147496207	0.4715124	0.4979473	-0.9743151	
0.0148145970	0.4386037	0.4979473	-0.9392484	
0.0148795733	0.4056949	0.4968683	-0.9068791	
0.0149445496	0.3717072	0.4947104	-0.8728914	
0.0150095259	0.3382589	0.4936314	-0.8372852	
0.0150745022	0.3042712	0.4941709	-0.8027579	
0.0151394785	0.268665	0.4936314	-0.7676913	
0.0152044548	0.2309008	0.4952499	-0.7320851	
0.0152694311	0.1915182	0.4974078	-0.6970183	
0.0153344074	0.1505171	0.5011842	-0.6581752	
0.0153993837	0.1078976	0.5060396	-0.6214901	
0.0154643600	0.06473855	0.5103555	-0.5842654	
0.0155293363	0.022119	0.5168294	-0.5486592	
0.0155943126	-0.01834259	0.5238428	-0.5135925	
0.0156592889	-0.05664623	0.5324746	-0.4806837	
0.0157242652	-0.09387089	0.5362509	-0.446696	
0.0157892415	-0.1321745	0.53733	-0.4116293	
0.0158542178	-0.1672412	0.5367904	-0.3744046	
0.0159191941	-0.2033869	0.5297771	-0.332864	
0.0159841704	-0.2389931	0.5189874	-0.2859286	
0.0160491467	-0.2745993	0.5065791	-0.2389931	
0.0161141230	-0.310745	0.4925524	-0.1888208	
0.0161790993	-0.3474302	0.4774468	-0.1391879	
0.0162440756	-0.3841154	0.4634201	-0.08847601	
0.0163090519	-0.4191821	0.4483144	-0.03722467	
0.0163740282	-0.4547883	0.4332088	0.01456617	
0.0164390045	-0.488776	0.4159452	0.06473855	
0.0165039808	-0.5243822	0.3992211	0.1154504	
0.0165689571	-0.5567515	0.380339	0.1693992	
0.0166339334	-0.5918182	0.3609174	0.222269	
0.0166989097	-0.6241875	0.3420353	0.2745993	
0.0167638860	-0.6549383	0.3231533	0.3263902	
0.0168288623	-0.6867681	0.3048107	0.3744046	
0.0168938387	-0.7180583	0.288626	0.4202611	
0.0169588150	-0.7482697	0.2719019	0.467736	
0.0170237913	-0.778481	0.2573357	0.5152109	
0.0170887676	-0.8092318	0.2438485	0.5605279	
0.0171537439	-0.8405221	0.2260454	0.6063844	
0.0172187202	-0.8718125	0.2136372	0.6527804	
0.0172836965	-0.9036422	0.2006895	0.6970183	
0.0173486728	-0.936551	0.1877418	0.7417958	
0.0174136491	-0.9689202	0.1742546	0.7854943	
0.0174786254	-0.999671	0.1607674	0.8308113	
0.0175436017	-1.031501	0.1494381	0.8739703	
0.0176085780	-1.059554	0.1343325	0.9171294	
0.0176735543	-1.089766	0.1230032	0.9592095	
